CCAA,DELITO,EDAD,SEXO,ANYO,FRECUENCIA
RIOJA (LA),    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
RIOJA (LA),    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
RIOJA (LA),    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
RIOJA (LA),    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
RIOJA (LA),    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
RIOJA (LA),    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
RIOJA (LA),    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,1
RIOJA (LA),    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    ACCESO  E INTERCEPTACION ILICITA,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    AMENAZAS Y COACCIONES,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    CONTRA EL HONOR,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    CONTRA LA PROPIEDAD INDUSTRIAL/INTELECTUAL,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    DELITOS SEXUALES,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    FALSIFICACION INFORMATICA,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    FRAUDE INFORMATICO,De 14 a 17 anyos,Masculino,2011,0
CIUDAD AUTONOMA DE CEUTA,    INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA,De 14 a 17 anyos,Masculino,2011,0
